DevOps Capability Assessment - Full Test,,,,,
,,,,,
Recommendations for your improvement,,,,,
Your overall results,Moderate,'61/164',,,
Continuous Integration and Continuous Delivery (CI/CD)," Describe how your team uses tests in environments other than production?",We use a continuous and automated process that enables ongoing testing of all our environments,We use a continuous and automated process that enables ongoing testing of all our environments,,
Continuous Integration and Continuous Delivery (CI/CD)," Describe how your team uses tests in environments other than production?",We leverage test automation as much as possible,We leverage test automation as much as possible,,
Continuous Integration and Continuous Delivery (CI/CD)," Describe how your team uses tests in environments other than production?",We continually revise the testing plan with an up-to-date automated testing scope,,,
Continuous Integration and Continuous Delivery (CI/CD)," Describe how your team uses tests in environments other than production?",None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,Credential/Secret Scanner,Credential/Secret Scanner,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,"Dependency Scanning ","Dependency Scanning ",,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,Source code analysis tools,Source code analysis tools,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,Vulnerability Scanning Tools,Vulnerability Scanning Tools,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,SAST Tools,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the code scanning tools used as part of the continuous integration (CI) process?,None of the above,,,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,"Our organization has set business objectives for cloud adoption and is progressing in that direction, though we have not yet obtained any cloud resources",,,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,"We procure cloud services as needed, allowing our organization the flexibility to budget for these services",,,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,"Leveraging the economy of scale offered by the cloud, we provide organizational services with cost savings and efficiencies that would otherwise be economically or operationally unfeasible","Leveraging the economy of scale offered by the cloud, we provide organizational services with cost savings and efficiencies that would otherwise be economically or operationally unfeasible",,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,We have business objectives for a hybridized cloud implementation to support our lift-and-shift operations,,,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,"Currently, our organization is in the process of developing governance measures to implement the cloud safely, aiming for greater efficiency and lower costs",,,
Infrastructure as a Flexible Resource,Describe your team's policy on using the public or government cloud?,None of the above,,,
Infrastructure as a Flexible Resource,Describe your current Infrastructure as Code (IaC) deployment goals?,"We maintain an immutable infrastructure that undergoes rebuilding through declarative or imperative IaC scripts, resulting in a new infrastructure in response to changes",,,
Infrastructure as a Flexible Resource,Describe your current Infrastructure as Code (IaC) deployment goals?,We have a mutable infrastructure that incorporates configuration changes into our existing infrastructure through declarative or imperative scripts in an automated process,,,
Infrastructure as a Flexible Resource,Describe your current Infrastructure as Code (IaC) deployment goals?,"We manage a compilation of scripts that, while executed manually, automatically build the infrastructure",,,
Infrastructure as a Flexible Resource,Describe your current Infrastructure as Code (IaC) deployment goals?,"We manually create the infrastructure as needed and employ IT workflows for automated communication to relevant groups responsible for different parts of the infrastructure deployment. ","We manually create the infrastructure as needed and employ IT workflows for automated communication to relevant groups responsible for different parts of the infrastructure deployment. ",,
Infrastructure as a Flexible Resource,Describe your current Infrastructure as Code (IaC) deployment goals?,"We create our infrastructure manually as required, lacking automation",,,
Infrastructure as a Flexible Resource,Describe your teams considerations around the deployment of your infrastructure?,We treat our infrastructure as if it were code,,,
Infrastructure as a Flexible Resource,Describe your teams considerations around the deployment of your infrastructure?,We understand what application services and components require high availability and implement an appropriate deployment strategy,We understand what application services and components require high availability and implement an appropriate deployment strategy,,
Infrastructure as a Flexible Resource,Describe your teams considerations around the deployment of your infrastructure?,No routine operational changes to the application infrastructure are conducted outside of Infrastructure as Code (IaC),No routine operational changes to the application infrastructure are conducted outside of Infrastructure as Code (IaC),,
Infrastructure as a Flexible Resource,Describe your teams considerations around the deployment of your infrastructure?,We actively track and address configuration drift,We actively track and address configuration drift,,
Infrastructure as a Flexible Resource,Describe your teams considerations around the deployment of your infrastructure?,None of the above,,,
Infrastructure as a Flexible Resource,Describe any operational changes performed outside of Infrastructure as Code?,We create a backlog work item to capture the request in our workflow and test the configuration change along with the rest of the infrastructure,,,
Infrastructure as a Flexible Resource,Describe any operational changes performed outside of Infrastructure as Code?,"We make the change, then create a work item in the current sprint and push it into the new environment immediately",,,
Infrastructure as a Flexible Resource,Describe any operational changes performed outside of Infrastructure as Code?,"We make the change by creating new change scripts, checking them into our source control, and documenting the business reason for the change","We make the change by creating new change scripts, checking them into our source control, and documenting the business reason for the change",,
Infrastructure as a Flexible Resource,Describe any operational changes performed outside of Infrastructure as Code?,"We make the change manually, and then using our Application Performance Monitor, verify that the change had a positive impact. ",,,
Infrastructure as a Flexible Resource,Describe any operational changes performed outside of Infrastructure as Code?,We make the change manually,,,
Infrastructure as a Flexible Resource,Describe how your team is testing your infrastructure?,Perform disaster recovery and fault injection,,,
Infrastructure as a Flexible Resource,Describe how your team is testing your infrastructure?,"Write Infrastructure as Code (IaC) test scripts that are executed in the pipeline, ensuring services are started, and the correct number of CPUs and memory is allocated.","Write Infrastructure as Code (IaC) test scripts that are executed in the pipeline, ensuring services are started, and the correct number of CPUs and memory is allocated.",,
Infrastructure as a Flexible Resource,Describe how your team is testing your infrastructure?,Using monitoring services that poll services and reachability within the infrastructure after and during deployment,Using monitoring services that poll services and reachability within the infrastructure after and during deployment,,
Infrastructure as a Flexible Resource,Describe how your team is testing your infrastructure?,Run infrastructure as code tests,Run infrastructure as code tests,,
Infrastructure as a Flexible Resource,Describe how your team is testing your infrastructure?,None of the above,,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?",We manage all our Infrastructure as Code scripts in one central source-controlled location,,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?","Each application has a separate source control branch, folder, or repository that hosts all the IaC responsible for building the infrastructure elements during deployment",,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?",Scripts are stored in a repository with limited access.  Business processes trigger teams to execute these scripts when necessary,,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?",Scripts are maintained by the feature team or development team and are reviewed prior to execution by operations,,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?",Scripts are created on the fly and stored in a central file repository. They are used when the demand to create the infrastructure arises.,Scripts are created on the fly and stored in a central file repository. They are used when the demand to create the infrastructure arises.,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?","Scripts are stored in a shared location, such as a file share",,,
Infrastructure as a Flexible Resource," Describe how your team manages Infrastructure as Code (IaC) scripts?",None of the above / We do not use Infrastructure as Code,,,
Infrastructure as a Flexible Resource,Describe your teams policy managing secrets?,We use a secure key management service to manage all our secrets,,,
Infrastructure as a Flexible Resource,Describe your teams policy managing secrets?,"Our secrets are encrypted, and we have processes that use the encrypted secrets during our deployments",,,
Infrastructure as a Flexible Resource,Describe your teams policy managing secrets?,"Secrets are maintained in our IaC scripts, but access to the scripts is closely guarded and controlled","Secrets are maintained in our IaC scripts, but access to the scripts is closely guarded and controlled",,
Infrastructure as a Flexible Resource,Describe your teams policy managing secrets?,"Secrets are in our IaC scripts. ",,,
Infrastructure as a Flexible Resource,Describe your teams policy managing secrets?,None of the above / No policy,,,
Continuous Security,Describe when your team tests for security?,As part of the pull request and code review flow before code is committed.,,,
Continuous Security,Describe when your team tests for security?,Security tests are run In the continuous integration and continuous delivery pipeline.,,,
Continuous Security,Describe when your team tests for security?,Before any production update or Before a major release.,Before any production update or Before a major release.,,
Continuous Security,Describe when your team tests for security?,None of the above,,,
Continuous Security,Describe to what degree of security testing is performed and how does your team handle incident response when breach happens?,Penetration testing is performed in-house or a third-party entity performs penetration testing of this workload to validate the current security defenses.,Penetration testing is performed in-house or a third-party entity performs penetration testing of this workload to validate the current security defenses.,,
Continuous Security,Describe to what degree of security testing is performed and how does your team handle incident response when breach happens?,"Simulated attacks on users of this workload, such as phishing campaigns, are carried out regularly.","Simulated attacks on users of this workload, such as phishing campaigns, are carried out regularly.",,
Continuous Security,Describe to what degree of security testing is performed and how does your team handle incident response when breach happens?,A security training program is developed and maintained to ensure security staff of this workload are well-informed and equipped with the appropriate skills.,A security training program is developed and maintained to ensure security staff of this workload are well-informed and equipped with the appropriate skills.,,
Continuous Security,Describe to what degree of security testing is performed and how does your team handle incident response when breach happens?,"Playbooks are built to help incident responders quickly understand the workload and components, to mitigate an attack and do an investigation.","Playbooks are built to help incident responders quickly understand the workload and components, to mitigate an attack and do an investigation.",,
Continuous Security,Describe to what degree of security testing is performed and how does your team handle incident response when breach happens?,None of the above.,,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,Use Credentials Scanner,Use Credentials Scanner,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,GitHub Advanced Security,GitHub Advanced Security,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,OWASP source code analysis tools,OWASP source code analysis tools,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,Vulnerability Scanning Tools,Vulnerability Scanning Tools,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,SAST Tools,,,
Continuous Security,Describe the code scanning tools used as part of the continuous integration (CI) process?,None of the above,,,
Continuous Security,Describe your team's techniques for developing secure code?,"Implementation of security for access to data by an unauthorized user needs to be handled with proper authentication and authorization (strong password policy implementations, 2 Factor Authentication).","Implementation of security for access to data by an unauthorized user needs to be handled with proper authentication and authorization (strong password policy implementations, 2 Factor Authentication).",,
Continuous Security,Describe your team's techniques for developing secure code?,Care has been taken to ensure that there is no data leak during transmission of data from one source to another source by implementing secured channels (HTTPS) of data transmission and implementing data encryption during transit.,Care has been taken to ensure that there is no data leak during transmission of data from one source to another source by implementing secured channels (HTTPS) of data transmission and implementing data encryption during transit.,,
Continuous Security,Describe your team's techniques for developing secure code?,"Tampering or stealing of data at rest is also another possibility. Hence, storage of personal health data (Using encryption) is very essential.","Tampering or stealing of data at rest is also another possibility. Hence, storage of personal health data (Using encryption) is very essential.",,
Continuous Security,Describe your team's techniques for developing secure code?,Access should be restricted to authenticated users only and authentication needs to be implemented at every layer.,Access should be restricted to authenticated users only and authentication needs to be implemented at every layer.,,
Continuous Security,Describe your team's techniques for developing secure code?,The communication channels need to be encrypted to protect authentication tokens.,The communication channels need to be encrypted to protect authentication tokens.,,
Continuous Security,Describe your team's techniques for developing secure code?,"All keys, passwords, and certificates need to be properly stored and protected.","All keys, passwords, and certificates need to be properly stored and protected.",,
Continuous Security,Describe your team's techniques for developing secure code?,None of the above,,,
Continuous Security,Describe how often your team performs a security review on the code?,We conduct security reviews on code changes infrequently,,,
Continuous Security,Describe how often your team performs a security review on the code?,Some code is security reviewed and we capture the review history using a pull request workflow or the equivalent,,,
Continuous Security,Describe how often your team performs a security review on the code?,We make sure all code changes are security peer-reviewed before being committed to the master or trunk by means of a pull request workflow/branch policies or the equivalent,We make sure all code changes are security peer-reviewed before being committed to the master or trunk by means of a pull request workflow/branch policies or the equivalent,,
Continuous Security,Describe how often your team performs a security review on the code?,None of the above,,,
Continuous Security,Describe how your team manages passwords and other secrets?,"Discover / identify all types of passwords, keys and other secrets across your entire IT environment and bring them under centralized management. Continuously discover and onboard new secrets as they are created.","Discover / identify all types of passwords, keys and other secrets across your entire IT environment and bring them under centralized management. Continuously discover and onboard new secrets as they are created.",,
Continuous Security,Describe how your team manages passwords and other secrets?,"Eliminate hardcoded / embedded secrets in DevOps tool configurations, build scripts, code files, test builds, production builds, applications.","Eliminate hardcoded / embedded secrets in DevOps tool configurations, build scripts, code files, test builds, production builds, applications.",,
Continuous Security,Describe how your team manages passwords and other secrets?,"Enforce password security best practices, including password length, complexity, uniqueness expiration, rotation, and more across all types of passwords.","Enforce password security best practices, including password length, complexity, uniqueness expiration, rotation, and more across all types of passwords.",,
Continuous Security,Describe how your team manages passwords and other secrets?,"Apply privileged session monitoring to log, audit, and monitor all privileged sessions (for accounts, users, scripts, automation tools, etc.) to improve oversight and accountability.","Apply privileged session monitoring to log, audit, and monitor all privileged sessions (for accounts, users, scripts, automation tools, etc.) to improve oversight and accountability.",,
Continuous Security,Describe how your team manages passwords and other secrets?,Extend secrets management to third-parties – ensure partners and vendors conform to best practices in using and managing secrets.,Extend secrets management to third-parties – ensure partners and vendors conform to best practices in using and managing secrets.,,
Continuous Security,Describe how your team manages passwords and other secrets?,Threat analytics – continuously analyze secrets usage to detect anomalies and potential threats.,,,
Continuous Security,Describe how your team manages passwords and other secrets?,None of the above,,,
Continuous Security,Describe how your team performs threat analysis?,"Threat modeling processes are adopted, identified threats are ranked based on organizational impact, mapped to mitigations and communicated to stakeholders.","Threat modeling processes are adopted, identified threats are ranked based on organizational impact, mapped to mitigations and communicated to stakeholders.",,
Continuous Security,Describe how your team performs threat analysis?,"There's a process to track, triage and address security threats in the application development cycle.","There's a process to track, triage and address security threats in the application development cycle.",,
Continuous Security,Describe how your team performs threat analysis?,Timelines and processess are established to deploy mitigations (security fixes) for identified threats.,Timelines and processess are established to deploy mitigations (security fixes) for identified threats.,,
Continuous Security,Describe how your team performs threat analysis?,Security requirements are defined for all applications.,Security requirements are defined for all applications.,,
Continuous Security,Describe how your team performs threat analysis?,Threat protection was addressed for all applications.,Threat protection was addressed for all applications.,,
Continuous Security,Describe how your team performs threat analysis?,"Business critical workloads, which may adversely affect operations if they are compromised or become unavailable, were identified and classified.","Business critical workloads, which may adversely affect operations if they are compromised or become unavailable, were identified and classified.",,
Continuous Security,Describe how your team performs threat analysis?,None of the above,,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Regulatory and governance requirements of applications are known and well understood.,,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Landing Zone concept is implemented for applications,Landing Zone concept is implemented for applications,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Policies are used to enforce and control security and organizational standards.,Policies are used to enforce and control security and organizational standards.,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Root management group is used and any changes that are applied using this group are carefully considered.,Root management group is used and any changes that are applied using this group are carefully considered.,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Compliance for applications is systematically monitored and maintained. Regular compliance attestations are performed.,Compliance for applications is systematically monitored and maintained. Regular compliance attestations are performed.,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,External or internal audits of this workload are performed periodically.,External or internal audits of this workload are performed periodically.,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Security plan for this workload was developed and is maintained.,Security plan for this workload was developed and is maintained.,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,"Best practices and guidelines, based on industry recommendations, are reviewed and applied proactively.","Best practices and guidelines, based on industry recommendations, are reviewed and applied proactively.",,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,Attacker vs. defender costs are considered when implementing defenses. Easy and cheap attack methods are always prevented.,,,
Continuous Security,Describe what considerations for compliance and governance are made on applications you build?,None of the above.,,,
Configuration Management,Describe how your team is managing the configuration of your applications?,You monitor and take advantage of new features and capabilities of underlying services used in your application,You monitor and take advantage of new features and capabilities of underlying services used in your application,,
Configuration Management,Describe how your team is managing the configuration of your applications?,Application configuration information is stored using a dedicated management system,Application configuration information is stored using a dedicated management system,,
Configuration Management,Describe how your team is managing the configuration of your applications?,Configuration settings can be changed or modified without rebuilding or redeploying the application,,,
Configuration Management,Describe how your team is managing the configuration of your applications?,Passwords and other secrets are managed in a secure store like Azure Key Vault or HashiCorp Vault,Passwords and other secrets are managed in a secure store like Azure Key Vault or HashiCorp Vault,,
Configuration Management,Describe how your team is managing the configuration of your applications?,Procedures are in place for key/secret rotation,Procedures are in place for key/secret rotation,,
Configuration Management,Describe how your team is managing the configuration of your applications?,The expiry dates of SSL certificates are monitored and there are processes in place to renew them,The expiry dates of SSL certificates are monitored and there are processes in place to renew them,,
Configuration Management,Describe how your team is managing the configuration of your applications?,Components are hosted on shared application or data platforms as appropriate,Components are hosted on shared application or data platforms as appropriate,,
Configuration Management,Describe how your team is managing the configuration of your applications?,None of the above,,,
Configuration Management,"Describe where your team's application configuration information is stored? ",We use Git as a configuration repository,,,
Configuration Management,"Describe where your team's application configuration information is stored? ",We use data files like YAML to describe our configuration data,,,
Configuration Management,"Describe where your team's application configuration information is stored? ",We use a Configuration Store like Azure App Configuration,,,
Configuration Management,"Describe where your team's application configuration information is stored? ",We use shared text files and environment variables that are part of our source control,We use shared text files and environment variables that are part of our source control,,
Configuration Management,"Describe where your team's application configuration information is stored? ",None of the above,,,
Configuration Management,Describe your teams goals for tracking and monitoring configuration drift?,We monitor and track for stability and to provide the same infrastructure,We monitor and track for stability and to provide the same infrastructure,,
Configuration Management,Describe your teams goals for tracking and monitoring configuration drift?,We monitor and track for security and document all our changes to meet our security audits,We monitor and track for security and document all our changes to meet our security audits,,
Configuration Management,Describe your teams goals for tracking and monitoring configuration drift?,We monitor and track for increased visibility and awareness so we can identify inter/intra-system dependencies,We monitor and track for increased visibility and awareness so we can identify inter/intra-system dependencies,,
Configuration Management,Describe your teams goals for tracking and monitoring configuration drift?,We monitor and track for fast remediation so our users are impacted less,,,
Configuration Management,Describe your teams goals for tracking and monitoring configuration drift?,None of the above,,,
Configuration Management,Describe how your team implements configuration tracking and addresses drift?,"Regularly destroy your environments, then rebuild them using automated tools",,,
Configuration Management,Describe how your team implements configuration tracking and addresses drift?,"Use configuration tools to monitor drift in environments, for example change tracking in Azure VMs or Terraform state changes",,,
Configuration Management,Describe how your team implements configuration tracking and addresses drift?,"We define all the configurations of the servers, or any other resource as code, and check them into version control","We define all the configurations of the servers, or any other resource as code, and check them into version control",,
Configuration Management,Describe how your team implements configuration tracking and addresses drift?,We monitor all our systems as necessary with automated checking,,,
Configuration Management,Describe how your team implements configuration tracking and addresses drift?,None of the above,,,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,"We use a Software Configuration Management platform, log our changes, review with a change control board, and deploy the change across the infrastructure",,,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,We implement the change in our infrastructure and through Ring Deployment verify the change before deploying further,,,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,We implement the change and deploy in our environment but reserve production deployment until telemetry verifies the change,,,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,"We log and track the change with our Security team, then implement the change in a staged rolled-out deployment verifying as we go","We log and track the change with our Security team, then implement the change in a staged rolled-out deployment verifying as we go",,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,We immediately deploy the change and make the update or patch part of our infrastructure as code verifying impacted services have the update,,,
Configuration Management,Describe your teams process when critical security updates or critical software updates need to be implemented?,None of the above,,,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,Our configurations are audited,,,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,Our configurations are version controlled and reviewed by a board.  When a change is implemented we create a tag or label in our version control,,,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,"We use software components, such as File Integrity Monitoring (FIM), to establish a baseline then audit and track changes",,,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,"We establish a baseline in VMs, then deploy from that VM(s) as a template to our infrastructure.  At regular intervals, we update the template.",,,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,"We use Infrastructure as Code, version all our scripts and deploy with an immutable environment.  We track our changes with our source control and use labels or tags to indicate new baseline changes.","We use Infrastructure as Code, version all our scripts and deploy with an immutable environment.  We track our changes with our source control and use labels or tags to indicate new baseline changes.",,
Configuration Management,Describe your teams process for developing and creating a configuration baseline?,None of the above,,,
Configuration Management,Describe your teams process for communicating configuration changes?,"We have team meetings when necessary, then update our code files or scripts and deploy the new configuration",,,
Configuration Management,Describe your teams process for communicating configuration changes?,We have regularly scheduled meetings to review the infrastructure's configuration and decide on necessary changes and implement them,,,
Configuration Management,Describe your teams process for communicating configuration changes?,We have a change control and review board that meets monthly to review all proposed changes.  We use a risk register and log to evaluate risk for the change and implement through our pipelines with IaC testing with automated processes,,,
Configuration Management,Describe your teams process for communicating configuration changes?,We have a review board that convenes when their are changes,,,
Configuration Management,Describe your teams process for communicating configuration changes?,"We review a configuration audit, decide the change, then send an email about the change only to interested parties and those who need to know",,,
Configuration Management,Describe your teams process for communicating configuration changes?,"We do not have a process, outside of the responsible person(s) who tracks and implements the change, where changes are communicated","We do not have a process, outside of the responsible person(s) who tracks and implements the change, where changes are communicated",,
Configuration Management,Describe your teams process for communicating configuration changes?,None of the above,,,
Continuous Monitoring,Describe how your team monitors applications?,An Application Performance Management (APM) tool like Azure Application Insights is used to collect application level logs,An Application Performance Management (APM) tool like Azure Application Insights is used to collect application level logs,,
Continuous Monitoring,Describe how your team monitors applications?,Application logs are collected from different application environments,Application logs are collected from different application environments,,
Continuous Monitoring,Describe how your team monitors applications?,Log messages are captured in a structured format and can be indexed and searched,Log messages are captured in a structured format and can be indexed and searched,,
Continuous Monitoring,Describe how your team monitors applications?,Application events are correlated across all application components,Application events are correlated across all application components,,
Continuous Monitoring,Describe how your team monitors applications?,It is possible to evaluate critical application performance targets and non-functional requirements based on application logs and metrics,It is possible to evaluate critical application performance targets and non-functional requirements based on application logs and metrics,,
Continuous Monitoring,Describe how your team monitors applications?,End-to-end performance of critical system flows is monitored,End-to-end performance of critical system flows is monitored,,
Continuous Monitoring,Describe how your team monitors applications?,Black-box monitoring is used to measure platform services and the resulting customer experience.,,,
Continuous Monitoring,Describe how your team monitors applications?,None of the above.,,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,"Application and resource level logs are either aggregated in a single data sink, or it is possible to cross-query events at both levels","Application and resource level logs are either aggregated in a single data sink, or it is possible to cross-query events at both levels",,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,Application level events are automatically correlated with resource-level metrics to quantify the current application state,Application level events are automatically correlated with resource-level metrics to quantify the current application state,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,A health model is used to qualify what 'healthy' and 'unhealthy' states represent for the workload,A health model is used to qualify what 'healthy' and 'unhealthy' states represent for the workload,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,Critical system flows are used to inform the health model,Critical system flows are used to inform the health model,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,The health model can distinguish between transient and non-transient faults,The health model can distinguish between transient and non-transient faults,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,Long-term trends are analyzed to predict operational issues before they occur,Long-term trends are analyzed to predict operational issues before they occur,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,Retention times for logs and metrics have been defined and with housekeeping mechanisms configured,,,
Continuous Monitoring,Describe how your team visualizes application data and then alert relevant teams when issues occur?,None of the above.,,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,"We don’t, Ops will contact us when something is wrong",,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,We receive a monthly report detailing availability and average response times and trends,,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,"We receive a daily report detailing workload with availability, response times, numbers of requests and load on the systems",,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,Ops has published a live metrics dashboard for us and sends us a roll up report with day-to-day comparison,,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,We have full self service access to live and aggregated data through a portal,We have full self service access to live and aggregated data through a portal,,
Continuous Monitoring,Describe how does your team get insights into metrics of production systems?,None of the above,,,
Continuous Monitoring,"Describe the instrumentation your team uses to monitor applications running in production?  ","Availability monitoring via pinging or synthetic transactions ",,,
Continuous Monitoring,"Describe the instrumentation your team uses to monitor applications running in production?  ","Performance monitoring of the servers and infrastructure ","Performance monitoring of the servers and infrastructure ",,
Continuous Monitoring,"Describe the instrumentation your team uses to monitor applications running in production?  ",Real user monitoring,Real user monitoring,,
Continuous Monitoring,"Describe the instrumentation your team uses to monitor applications running in production?  ",Multi-tier views of end-to-end transactions including processing and network combined,Multi-tier views of end-to-end transactions including processing and network combined,,
Continuous Monitoring,"Describe the instrumentation your team uses to monitor applications running in production?  ",None of the above,,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,"A log aggregation technology, such as Azure Log Analytics or Splunk, is used to collect logs and metrics from Azure resources","A log aggregation technology, such as Azure Log Analytics or Splunk, is used to collect logs and metrics from Azure resources",,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,Azure Activity Logs are collected within the log aggregation tool,Azure Activity Logs are collected within the log aggregation tool,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,Resource-level monitoring is enforced throughout the application,Resource-level monitoring is enforced throughout the application,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,Logs and metrics are available for critical internal dependencies,Logs and metrics are available for critical internal dependencies,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,Log levels are used to capture different types of application events.,Log levels are used to capture different types of application events.,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,Critical external dependencies are monitored,Critical external dependencies are monitored,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,There are no known gaps in application observability that led to missed incidents and/or false positives.,,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,The application is instrumented to measure customer experience.,,,
Continuous Monitoring,Describe how your team interprets the collected data to inform relevant teams about application health?,None of the above,,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,A tool such as Azure Monitor or Grafana is used to visualize the application health model and encompassed logs and metrics,A tool such as Azure Monitor or Grafana is used to visualize the application health model and encompassed logs and metrics,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,"Dashboards are tailored to a specific audience such as developers, security or networking teams","Dashboards are tailored to a specific audience such as developers, security or networking teams",,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,A tool such as Azure Monitor or Splunk is used for alerting,,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,Specific owners and processes are defined for each alert type,Specific owners and processes are defined for each alert type,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,Operational events are prioritized based on business impact,Operational events are prioritized based on business impact,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,Alerting is integrated with an IT Service Management (ITSM) system such as ServiceNow,Alerting is integrated with an IT Service Management (ITSM) system such as ServiceNow,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,Push notifications are used to inform responsible parties of alerts in real time,Push notifications are used to inform responsible parties of alerts in real time,,
Continuous Monitoring,Describe how your team uses tools to be notified and alerted about application health?,None of the above.,,,
Continuous Monitoring,"Describe how your team's applications are engineered towards providing information for operations? (logging, instrumentation)","We implement custom counters in our production code that stream service health, up-time, and code invocation and execution to a central repository",,,
Continuous Monitoring,"Describe how your team's applications are engineered towards providing information for operations? (logging, instrumentation)","We poll our production system at regular intervals with a monitoring solution such as IpSwitch, SolarWinds, Quest, etc... and log the data to a central repository",,,
Continuous Monitoring,"Describe how your team's applications are engineered towards providing information for operations? (logging, instrumentation)",We use AGENTLESS technology to conduct PING tests and verification of services.  We log this data to a central repository that allows us to build and visualize trends over time,We use AGENTLESS technology to conduct PING tests and verification of services.  We log this data to a central repository that allows us to build and visualize trends over time,,
