"Azure Well-Architected Review - Nov 17, 2023 - 2:38:53 AM",,,,,,,,,
,,,,,,,,,
Recommendations for your workload,,,,,,,,,
Security,What identity and access controls do you use to secure your application?,We've identified all identity personas for this workload and avoid hard-coded credentials where possible.,,,,,,,
Security,What identity and access controls do you use to secure your application?,We separate the control plane and the data access plane.,,,,,,,
Security,What identity and access controls do you use to secure your application?,"We use role-based access control (RBAC) for this workload, and we've clearly defined roles and responsibilities.",,,,,,,
Security,What identity and access controls do you use to secure your application?,We use attribute-based access controls to enforce just-in-time (JIT) and just-enough-access (JEA) principles.,,,,,,,
Security,What identity and access controls do you use to secure your application?,We've isolated critical impact accounts and strictly enforce privilege separation and access reviews.,,,,,,,
Security,What identity and access controls do you use to secure your application?,We implement identity lifecycle management and have a documented offboarding process.,,,,,,,
Security,What identity and access controls do you use to secure your application?,None of the above.,None of the above.,,,,,,
Security,How do you secure connectivity for this workload?,"We've evaluated all network flows based on their direction, scope, and level of restriction.",,,,,,,
Security,How do you secure connectivity for this workload?,We use firewalls to protect ingress and egress edge traffic.,,,,,,,
Security,How do you secure connectivity for this workload?,We use network security groups to isolate and protect traffic within the workload's virtual networks.,,,,,,,
Security,How do you secure connectivity for this workload?,We use network restrictions and IP firewall rules to ensure public IP addresses can't access individual services.,,,,,,,
Security,How do you secure connectivity for this workload?,We've secured connectivity to platform as a service (PaaS) endpoints.,,,,,,,
Security,How do you secure connectivity for this workload?,We have plans and capabilities in place to mitigate distributed denial-of-service (DDoS) attacks.,,,,,,,
Security,How do you secure connectivity for this workload?,None of the above.,None of the above.,,,,,,
Security,What are your plans and procedures for encrypting data?,We employ native encryption methods for cloud-hosted environments.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We store our encryption keys and our resources that host the encrypted data in separate locations.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We use only industry-standard encryption algorithms for the workload data.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We use the latest secure version of the secure hash algorithms (SHA) family of algorithms.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We encrypt data in transit with Transport Layer Security (TLS) version 1.2 or later.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We have a method for revoking and reissuing certificates quickly when a private key becomes compromised.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We use strong encryption-at-rest techniques in the system that hosts our encryption keys.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We use double encryption where business or regulatory requirements dictate its use.,,,,,,,
Security,What are your plans and procedures for encrypting data?,We use a modern identity platform to allow just-in-time (JIT) access and just enough access (JEA) to the encryption keys.,,,,,,,
Security,What are your plans and procedures for encrypting data?,None of the above.,None of the above.,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,"We have a comprehensive inventory of all hardware, software, and data assets for this workload.",,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,We train our teams on methods of hardening the code and components of our workload.,,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,"We document the requirements and decisions made for hardening, including any exceptions.",,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,We place isolation boundaries around critical assets and sensitive data to protect against lateral movement attacks.,,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,We've disabled the use of legacy and insecure protocols from the workload.,,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,We don't use legacy authentication methods.,,,,,,,
Security,What measures do you take to continuously harden your workload against attack?,None of the above.,None of the above.,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,"We don't share secrets between development, testing, and production environments.",,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We store application secrets and credentials separately from the workload in a secret management system that uses strong encryption.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We have a secure process in place for distributing secrets to the locations where they're used.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We use automation to detect and remove hard-coded secrets from our source code and build artifacts.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We rotate keys and expire old keys on a regular basis.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We have a method in place to respond to secret rotation without disruption.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,We employ role-based access control (RBAC) to manage access to keys.,,,,,,,
Security,How do you secure your secrets and the other credentials that your workload uses?,None of the above.,None of the above.,,,,,,
Security,How do you monitor the application and the infrastructure?,We use cloud-native tools to monitor our workload resources and the infrastructure in which our workload runs.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We collect logs from all application flows.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We collect activity logs from all the infrastructure components in our workload.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We periodically review access to the control plane and data plane of the application.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We use a threat-detection tool to aggregate and analyze logs.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We monitor configuration drift away from the baseline and agreed-upon standards.,,,,,,,
Security,How do you monitor the application and the infrastructure?,We use modern threat-detection techniques to detect suspicious activities.,,,,,,,
Security,How do you monitor the application and the infrastructure?,None of the above.,None of the above.,,,,,,
Security,How do you test your workload before and after it reaches production?,"We've integrated security routine tests as part of DevOps practices, and we run tests in our build processes and deployment pipelines.",,,,,,,
Security,How do you test your workload before and after it reaches production?,We're prepared to handle improvised tests that are conducted by central teams.,,,,,,,
Security,How do you test your workload before and after it reaches production?,"We use various types of tests on our data, networking, application, and components.",,,,,,,
Security,How do you test your workload before and after it reaches production?,We test the functional and structural aspects of our workload by using different test methodologies.,,,,,,,
Security,How do you test your workload before and after it reaches production?,We periodically simulate attacks by using ethical hacking practices that involve penetration testing and war game exercises.,,,,,,,
Security,How do you test your workload before and after it reaches production?,We perform manual security testing and use various scanning technologies that Microsoft and third parties offer.,,,,,,,
Security,How do you test your workload before and after it reaches production?,None of the above.,None of the above.,,,,,,
Security,How prepared are you to respond to incidents?,We have a designated incident contact who uses established documentation for communication and reporting during incidents.,,,,,,,
Security,How prepared are you to respond to incidents?,"We have a triage team responsible for assessing incident severity, impact, and action plans.",,,,,,,
Security,How prepared are you to respond to incidents?,We have a process in place to prevent incident recurrence.,,,,,,,
Security,How prepared are you to respond to incidents?,We systemically conduct post-incident reviews to extract valuable insights for the incident response.,,,,,,,
Security,How prepared are you to respond to incidents?,We have a well-defined communication plan for incident response.,,,,,,,
Security,How prepared are you to respond to incidents?,We have an established security operations center (SOC) within the organization.,,,,,,,
Security,How prepared are you to respond to incidents?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you create a culture of financial responsibility?,We communicate financial expectations.,,,,,,,
Cost Optimization,How do you create a culture of financial responsibility?,We make budgets and workload costs transparent.,,,,,,,
Cost Optimization,How do you create a culture of financial responsibility?,We train personnel in cost optimization strategies.,,,,,,,
Cost Optimization,How do you create a culture of financial responsibility?,We encourage a culture of continuous improvement.,,,,,,,
Cost Optimization,How do you create a culture of financial responsibility?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you perform cost modeling? ,We have workload estimates.,,,,,,,
Cost Optimization,How do you perform cost modeling? ,We determine cost drivers.,,,,,,,
Cost Optimization,How do you perform cost modeling? ,We can associate workload costs to specific business metrics.,,,,,,,
Cost Optimization,How do you perform cost modeling? ,We have a budget for the workload.,,,,,,,
Cost Optimization,How do you perform cost modeling? ,We regularly update the cost model.,,,,,,,
Cost Optimization,How do you perform cost modeling? ,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you monitor costs?,We enable data collection on all resources.,,,,,,,
Cost Optimization,How do you monitor costs?,We group cost data for easier analysis.,,,,,,,
Cost Optimization,How do you monitor costs?,We generate cost reports.,,,,,,,
Cost Optimization,How do you monitor costs?,We assign a resource owner for each cost item.,,,,,,,
Cost Optimization,How do you monitor costs?,We regularly review cost reports with stakeholders against the budget and cost model.,,,,,,,
Cost Optimization,How do you monitor costs?,We use and set cost alerts at key spending thresholds.,,,,,,,
Cost Optimization,How do you monitor costs?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you govern your spending?,We use governance policies to provide spending guardrails.,,,,,,,
Cost Optimization,How do you govern your spending?,We implement release gates on deployments.,,,,,,,
Cost Optimization,How do you govern your spending?,"We set resource provisioning alerts for underutilized resources, orphan resources, and underutilized commitment-based plans.",,,,,,,
Cost Optimization,How do you govern your spending?,We use infrastructure as code to standardize deployments.,,,,,,,
Cost Optimization,How do you govern your spending?,We define access controls to reduce the risk of changes that affect cost optimization.,,,,,,,
Cost Optimization,How do you govern your spending?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you get the best rates from providers?,We understand the cost of all workload components.,,,,,,,
Cost Optimization,How do you get the best rates from providers?,We evaluate and determine the right billing model.,,,,,,,
Cost Optimization,How do you get the best rates from providers?,We evaluate and commit to available discounts.,,,,,,,
Cost Optimization,How do you get the best rates from providers?,"We determine the cost benefits of building or buying solutions, where applicable.",,,,,,,
Cost Optimization,How do you get the best rates from providers?,We optimize licensing costs.,,,,,,,
Cost Optimization,How do you get the best rates from providers?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,We know billing factors and billing increments.,,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,We map usage to billing increments.,,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,"We use proof-of-concepts to validate our understanding of billing increments, where applicable.",,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,"We modify services to align usage to billing increments, where applicable.",,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,"We modify resource usage to align with billing increments, where applicable.",,,,,,,
Cost Optimization,How do you align resource usage to billing increments?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize workload component costs? ,We optimize application features.,,,,,,,
Cost Optimization,How do you optimize workload component costs? ,We optimize platform features.,,,,,,,
Cost Optimization,How do you optimize workload component costs? ,We cost optimize workload resources.,,,,,,,
Cost Optimization,How do you optimize workload component costs? ,We avoid introducing unoptimized components.,,,,,,,
Cost Optimization,How do you optimize workload component costs? ,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize the cost of each workload environment?,We understand the value of each environment.,,,,,,,
Cost Optimization,How do you optimize the cost of each workload environment?,We cost optimize the production environment.,,,,,,,
Cost Optimization,How do you optimize the cost of each workload environment?,"We cost optimize the disaster recovery environment, where applicable.",,,,,,,
Cost Optimization,How do you optimize the cost of each workload environment?,"We cost optimize preproduction environments, where applicable.",,,,,,,
Cost Optimization,How do you optimize the cost of each workload environment?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize flow costs?,We know and understand all flows.,,,,,,,
Cost Optimization,How do you optimize flow costs?,We prioritize flows by value.,,,,,,,
Cost Optimization,How do you optimize flow costs?,"We optimize independent flows, where applicable.",,,,,,,
Cost Optimization,How do you optimize flow costs?,"We evaluate and separate dissimilar flows, where applicable.",,,,,,,
Cost Optimization,How do you optimize flow costs?,"We evaluate and combine similar flows, where applicable.",,,,,,,
Cost Optimization,How do you optimize flow costs?,We regularly review flow spending to align flow with spending over time.,,,,,,,
Cost Optimization,How do you optimize flow costs?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize data costs? ,We have inventoried workload data.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We prioritize data.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We use data lifecycle management.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We cost optimize storage solutions.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We configure data replication according to each environment's resiliency requirements.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We optimize backup frequency and storage.,,,,,,,
Cost Optimization,How do you optimize data costs? ,We limit the amount of data captured and duplicated to what's necessary.,,,,,,,
Cost Optimization,How do you optimize data costs? ,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize code costs?,We instrument code to collect data during runtime.,,,,,,,
Cost Optimization,How do you optimize code costs?,We identify and optimize hot paths.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate code for opportunities to implement concurrent processing.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate and optimize software development kits.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate the operating system against alternatives.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate and optimize network traversal.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate and optimize data access.,,,,,,,
Cost Optimization,How do you optimize code costs?,We evaluate and optimize the architecture.,,,,,,,
Cost Optimization,How do you optimize code costs?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,We analyze usage data to decide which scale model (scale out vs scale up) is best.,,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,"We implement strategies to reduce demand, where applicable.",,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,We use and optimize autoscaling.,,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,"We review strategies to offload demand, where applicable.",,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,We set and enforce upper limits on resource spending.,,,,,,,
Cost Optimization,How do you optimize resource scaling costs? ,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you optimize personnel time?,We define the metrics to measure the success of personnel time-optimization efforts.,,,,,,,
Cost Optimization,How do you optimize personnel time?,We optimize development time.,,,,,,,
Cost Optimization,How do you optimize personnel time?,We optimize personnel collaboration.,,,,,,,
Cost Optimization,How do you optimize personnel time?,We optimize processes.,,,,,,,
Cost Optimization,How do you optimize personnel time?,We optimize operational tasks.,,,,,,,
Cost Optimization,How do you optimize personnel time?,We optimize personnel skills.,,,,,,,
Cost Optimization,How do you optimize personnel time?,None of the above.,None of the above.,,,,,,
Cost Optimization,How do you evaluate resource consolidation? ,We evaluate the workload for internal resource consolidation.,,,,,,,
Cost Optimization,How do you evaluate resource consolidation? ,We understand the general process of consolidation.,,,,,,,
Cost Optimization,How do you evaluate resource consolidation? ,"We evaluate opportunities to offload workload responsibility to external teams, where applicable.",,,,,,,
Cost Optimization,How do you evaluate resource consolidation? ,"We evaluate opportunities to use external centralized resources, where applicable.",,,,,,,
Cost Optimization,How do you evaluate resource consolidation? ,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We have a team culture based on mutual respect and open feedback.,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We give the workload team end-to-end responsibility for the workload.,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We allow the workload team to use the services of enablement teams.,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We have cross-functional teams that learn from each other. ,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We integrate all requirements into workload practices.,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,We regularly review our operating procedures with the team to identify areas of improvement.,,,,,,,
Operational Excellence,How do you foster a DevOps culture?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We follow templates and style guides for any documentation our team creates.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We have identified and documented guidelines for managing all processes in our workload.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We have operational instructions that have easily understood checklist items.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We detail responsibilities and provide guidance in our operating procedures for improvised and emergency tasks.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We leverage industry-proven practices and processes in our team.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We implement a shift-left ethos to identify areas of improvement.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We have operating procedures that comply with organizational and compliance requirements.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,We understand how to use open-source tools in our workload team.,,,,,,,
Operational Excellence,How do you formalize routine and nonroutine tasks?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,We use a collaborative approach to development planning.,,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,"We use established, industry-proven planning processes and tools.",,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,"We use small, iterative deployments.",,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,We communicate proposed changes internally and externally.,,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,We have a standard to define user stories and acceptance criteria.,,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,We ensure all work items have clear acceptance criteria.,,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,We regularly perform internal audits of our development practices via retrospectives.,,,,,,,
Operational Excellence,How do you formalize software ideation and planning process?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We rely on industry-proven tools and solutions to support the entire development lifecycle.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,"We have a style guide to standardize writing, reviewing, and documenting code.",,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We use metrics to quantify developer effectiveness.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We perform unit testing early and often throughout the development process.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We strategically incur and address technical debt in our development teams.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We have a versioning standard for all artifacts.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,We have a standardized branching strategy.,,,,,,,
Operational Excellence,How do you optimize software development and quality assurance processes?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We prefer declarative instead of imperative scripting approaches.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We have purposefully selected the workload's infrastructure-as-code tooling to provision our infrastructure.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We are aware of the lifecycle of cloud provider APIs and IaC providers.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We use the same set of scripts and templates to deploy a variety of environments.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We use modules only where they add a relevant layer of abstraction.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We separate our IaC pipelines into layers.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,We manage IaC artifacts like code.,,,,,,,
Operational Excellence,How do you use infrastructure as code (IaC)?,None of the above.,None of the above.,,,,,,
Operational Excellence,How did you build your workload supply chain?,"We ensure all deployments, to all environments, happen through deployment pipelines.",,,,,,,
Operational Excellence,How did you build your workload supply chain?,We deploy repeatable and immutable infrastructure with code.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,We use one set of code assets and artifacts across all environments and pipelines.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,We have a standard deployment method to the production environment.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,We use different pipelines to make changes.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,We have planned for a robust testing strategy that aligns with a shift-left ethos.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,We use quality gates to promote code to higher environments.,,,,,,,
Operational Excellence,How did you build your workload supply chain?,None of the above.,None of the above.,,,,,,
Operational Excellence,How did you design your observability platform?,We collect telemetry or events like logs and metrics.,,,,,,,
Operational Excellence,How did you design your observability platform?,We store observability data with just enough retention and in appropriate geographies.,,,,,,,
Operational Excellence,How did you design your observability platform?,We keep separate data between environments.,,,,,,,
Operational Excellence,How did you design your observability platform?,We ensure our observability data provides perspective both holistically and at individual flow levels.,,,,,,,
Operational Excellence,How did you design your observability platform?,We structure the capture of application events.,,,,,,,
Operational Excellence,How did you design your observability platform?,"We prefer, where possible, platform services and capabilities for collecting metrics and log information over custom solutions.",,,,,,,
Operational Excellence,How did you design your observability platform?,We visualize observability data and make it available to stakeholders.,,,,,,,
Operational Excellence,How did you design your observability platform?,We have created an alerting strategy that focuses on actionable alerts directed to appropriate parties.,,,,,,,
Operational Excellence,How did you design your observability platform?,None of the above.,None of the above.,,,,,,
Operational Excellence,What is your emergency operations practice?,We use agreed-upon tooling for incident-related artifacts and activities.,,,,,,,
Operational Excellence,What is your emergency operations practice?,We have a defined and practiced incident response role accountability plan in place.,,,,,,,
Operational Excellence,What is your emergency operations practice?,We have clear criteria to decide the severity of an incident.,,,,,,,
Operational Excellence,What is your emergency operations practice?,We have defined communication and escalation plans for all severities.,,,,,,,
Operational Excellence,What is your emergency operations practice?,"We understand that there can be different sources for incident reports, but our team handles incidents consistently.",,,,,,,
Operational Excellence,What is your emergency operations practice?,We have a containment strategy to remediate issues.,,,,,,,
Operational Excellence,What is your emergency operations practice?,We have a procedure in place to provide root cause analysis (RCA) reports.,,,,,,,
Operational Excellence,What is your emergency operations practice?,We established a process for improving the incident response practice.,,,,,,,
Operational Excellence,What is your emergency operations practice?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you automate tasks that don't need human intervention?,We consider opportunities for automation broadly across the workload and its operations.,,,,,,,
Operational Excellence,How do you automate tasks that don't need human intervention?,We perform a return on investment (ROI) analysis before selecting tasks for automation.,,,,,,,
Operational Excellence,How do you automate tasks that don't need human intervention?,We empower team members by providing self-service through automation.,,,,,,,
Operational Excellence,How do you automate tasks that don't need human intervention?,We evaluate and use the appropriate automation tool.,,,,,,,
Operational Excellence,How do you automate tasks that don't need human intervention?,None of the above.,None of the above.,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,Automating operations is a central consideration in our workload design.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,We use bootstrapping where appropriate.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,We automate desired state configuration where appropriate.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,The control plane provides supports automation by external tools.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,Our authentication standards allow for automation wherever reasonable.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,We use the capabilities provided by the cloud platform for automation where appropriate.,,,,,,,
Operational Excellence,What is your approach to design the capability for automation into your workload?,None of the above.,None of the above.,,,,,,
Operational Excellence,What safe deployment practices do you use?,"We reduce risk by deploying small, incremental, and tested changes.",,,,,,,
Operational Excellence,What safe deployment practices do you use?,We use progressive exposure techniques for both infrastructure changes and application features.,,,,,,,
Operational Excellence,What safe deployment practices do you use?,"We rely on health signals to provide go, no-go decisions during rollouts.",,,,,,,
Operational Excellence,What safe deployment practices do you use?,We have a defined hotfix strategy that safely addresses urgent releases.,,,,,,,
Operational Excellence,What safe deployment practices do you use?,We ensure the workload reliably handles data changes.,,,,,,,
Operational Excellence,What safe deployment practices do you use?,We ensure that any and all production changes follow the safe deployment practices.,,,,,,,
Operational Excellence,What safe deployment practices do you use?,None of the above.,None of the above.,,,,,,
Operational Excellence,How do you address deployment failures?,We can quickly identify issues with deployments.,,,,,,,
Operational Excellence,How do you address deployment failures?,We have a mitigation strategy for deployment issues.,,,,,,,
Operational Excellence,How do you address deployment failures?,We understand mitigation strategies for deployment issues.,,,,,,,
Operational Excellence,How do you address deployment failures?,We use a structured communication plan.,,,,,,,
Operational Excellence,How do you address deployment failures?,We conduct post-mortem reviews after failed deployments.,,,,,,,
Operational Excellence,How do you address deployment failures?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you define performance targets?,We understand the performance requirements for the workload.,,,,,,,
Performance Efficiency,How do you define performance targets?,We identified key metrics to measure the workload performance.,,,,,,,
Performance Efficiency,How do you define performance targets?,We set targets for the identified performance metrics.,,,,,,,
Performance Efficiency,How do you define performance targets?,We document and expose the performance targets.,,,,,,,
Performance Efficiency,How do you define performance targets?,We continuously evaluate customer feedback to ensure alignment with business expectations.,,,,,,,
Performance Efficiency,How do you define performance targets?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you conduct capacity planning?,We gather capacity data to forecast future demand.,,,,,,,
Performance Efficiency,How do you conduct capacity planning?,We analyze future scenarios and use predictive modeling to forecast future demand.,,,,,,,
Performance Efficiency,How do you conduct capacity planning?,We align capacity forecasts with workload objectives.,,,,,,,
Performance Efficiency,How do you conduct capacity planning?,We determine resource requirements based on forecast demand.,,,,,,,
Performance Efficiency,How do you conduct capacity planning?,We understand resource limitations and quotas and take them into account during the capacity planning. ,,,,,,,
Performance Efficiency,How do you conduct capacity planning?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you select the right services?,"We choose services based on the performance targets, organizational restrictions, security and compliance requirements, and available team skills.",,,,,,,
Performance Efficiency,How do you select the right services?,We use platform features instead of custom code where possible.,,,,,,,
Performance Efficiency,How do you select the right services?,We select infrastructure based on the service availability and latency requirements.,,,,,,,
Performance Efficiency,How do you select the right services?,We understand the networking requirements and take them into account when selecting and configuring the workload services.,,,,,,,
Performance Efficiency,How do you select the right services?,We understand the compute requirements and take them into account when selecting and configuring the workload services.,,,,,,,
Performance Efficiency,How do you select the right services?,We understand the load balancing requirements and take them into account when selecting and configuring the workload services.,,,,,,,
Performance Efficiency,How do you select the right services?,We understand the data store requirements and take them into account when selecting and configuring workload services.,,,,,,,
Performance Efficiency,How do you select the right services?,We understand the caching requirements and take them into account during the application design.,,,,,,,
Performance Efficiency,How do you select the right services?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you collect performance data?,We store performance metrics and logs in a central location.,,,,,,,
Performance Efficiency,How do you collect performance data?,We store logs and metrics data separately for each environment.,,,,,,,
Performance Efficiency,How do you collect performance data?,We define retention policies for log and metrics data to enable effective troubleshooting and monitoring.,,,,,,,
Performance Efficiency,How do you collect performance data?,We instrument code to gather data about the performance of an application during runtime.,,,,,,,
Performance Efficiency,How do you collect performance data?,We collect metrics and logs for every resource.,,,,,,,
Performance Efficiency,How do you collect performance data?,We monitor network traffic performance.,,,,,,,
Performance Efficiency,How do you collect performance data?,We collect and analyze database and storage performance data.,,,,,,,
Performance Efficiency,How do you collect performance data?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We selected a scaling strategy based on the specific characteristics of the workload.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We designed the infrastructure to be scalable and distribute load across multiple resources.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We designed the application to be scalable and distribute load.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We understand service scaling limits and boundaries and take them into account.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We base scaling on meaningful load metrics and include a buffer.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We use autoscaling and configure it to avoid runaway scaling and flapping.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We test workload scaling under production-like load.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,"We have a workload partitioning strategy in place, where applicable.",,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,We regularly test and optimize the partitioning scheme.,,,,,,,
Performance Efficiency,How do you manage scalability and partitioning?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you conduct performance testing?,We have well-defined acceptance criteria for the success of performance tests.,,,,,,,
Performance Efficiency,How do you conduct performance testing?,We have identified performance test types based on the application's acceptance criteria and performance risks.,,,,,,,
Performance Efficiency,How do you conduct performance testing?,We have decided on the toolset for performance testing.,,,,,,,
Performance Efficiency,How do you conduct performance testing?,"We have created performance test scenarios, and the test environment is in place.",,,,,,,
Performance Efficiency,How do you conduct performance testing?,We use performance tests to understand the application's bottlenecks and evaluate acceptance criteria.,,,,,,,
Performance Efficiency,How do you conduct performance testing?,We run performance testing for every change.,,,,,,,
Performance Efficiency,How do you conduct performance testing?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,We optimize code logic.,,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,We optimize memory management.,,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,We regularly use concurrency and parallelism to improve performance.,,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,We use connection pooling.,,,,,,,
