"Cloud Adoption Security Assessment (CASA) - Nov 28, 2024 - 1:55:21 PM",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Your overall results,Critical,'2/100',,,,,,,
"CAF - Teams, roles and functions","T-2: To what extent does your organization implement collaborative practices between security and technical teams to support cloud security?
",T-2-5: Security and technical teams work together primarily on specific areas like IAM or network security.,T-2-5: Security and technical teams work together primarily on specific areas like IAM or network security.,,,,,,
"CAF - Teams, roles and functions","T-3: Does your organization adopt a shared responsibility model or similar structure to define security accountability in cloud services?
",T-3-1: A shared responsibility model is clearly established and followed across teams,,,,,,,
"CAF - Teams, roles and functions","T-3: Does your organization adopt a shared responsibility model or similar structure to define security accountability in cloud services?
",T-3-2: A model exists but is inconsistently applied or understood.,,,,,,,
"CAF - Teams, roles and functions","T-3: Does your organization adopt a shared responsibility model or similar structure to define security accountability in cloud services?
",T-3-3: A shared responsibility model is in development or not yet implemented.,,,,,,,
"CAF - Teams, roles and functions","T-3: Does your organization adopt a shared responsibility model or similar structure to define security accountability in cloud services?
",T-3-4: Responsibility for cloud security is informally managed without a structured model.,,,,,,,
"CAF - Teams, roles and functions","T-3: Does your organization adopt a shared responsibility model or similar structure to define security accountability in cloud services?
",T-3-5: Cloud security responsibility is managed solely by external cloud providers.,T-3-5: Cloud security responsibility is managed solely by external cloud providers.,,,,,,
"CAF - Teams, roles and functions","T-4: How effectively does your organization address evolving security threats through continuous improvement and Zero Trust principles?
",T-4-1: Continuous improvement processes are well-established and prioritize Zero Trust principles.,,,,,,,
"CAF - Teams, roles and functions","T-4: How effectively does your organization address evolving security threats through continuous improvement and Zero Trust principles?
",T-4-2: Security improvements occur mainly after security audits.,,,,,,,
"CAF - Teams, roles and functions","T-4: How effectively does your organization address evolving security threats through continuous improvement and Zero Trust principles?
","T-4-3: Zero Trust principles are partially implemented, but improvement efforts are limited.",,,,,,,
"CAF - Teams, roles and functions","T-4: How effectively does your organization address evolving security threats through continuous improvement and Zero Trust principles?
",T-4-4: Security processes are mostly reactive and lack structured improvement.,,,,,,,
"CAF - Teams, roles and functions","T-4: How effectively does your organization address evolving security threats through continuous improvement and Zero Trust principles?
",T-4-5: Security updates focus on compliance rather than evolving threats.,T-4-5: Security updates focus on compliance rather than evolving threats.,,,,,,
"CAF - Teams, roles and functions","T-5: How comprehensive and integrated are your Governance, Risk, and Compliance (GRC) processes within your cloud security strategy?
","T-5-1: GRC processes are fully defined, integrated, and consistently applied to cloud environments.",,,,,,,
"CAF - Teams, roles and functions","T-5: How comprehensive and integrated are your Governance, Risk, and Compliance (GRC) processes within your cloud security strategy?
",T-5-2: GRC roles and processes are partially defined but inconsistently followed.,,,,,,,
"CAF - Teams, roles and functions","T-5: How comprehensive and integrated are your Governance, Risk, and Compliance (GRC) processes within your cloud security strategy?
","T-5-3: GRC functions focus on compliance, with minimal proactive risk management.",,,,,,,
"CAF - Teams, roles and functions","T-5: How comprehensive and integrated are your Governance, Risk, and Compliance (GRC) processes within your cloud security strategy?
",T-5-4: Governance and risk management are handled informally without clear processes.,,,,,,,
"CAF - Teams, roles and functions","T-5: How comprehensive and integrated are your Governance, Risk, and Compliance (GRC) processes within your cloud security strategy?
",T-5-5: GRC responsibilities rely on external cloud provider policies.,T-5-5: GRC responsibilities rely on external cloud provider policies.,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-1: Established a clear security modernization roadmap focused on cloud-specific requirements.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-2: Incorporated cross-functional training to prepare teams for new cloud security roles and responsibilities.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
","S-1-3: Added dedicated cloud security roles (e.g., cloud security architect, DevSecOps) to support cloud adoption.",,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
","S-1-4: Integrated regular, open communication sessions to address challenges and conflicts around security changes.",,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-5: Defined governance policies to ensure consistent application of Zero Trust principles across the organization.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-6: Established clear metrics to monitor the effectiveness of security modernization efforts.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-7: Conducted a security gap analysis to identify areas needing further cloud-specific security enhancements.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-8: Updated security documentation to align with new cloud-based security requirements and practices.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-9 Secured executive support and funding for the security modernization initiative.,,,,,,,
CAF - Strategy,"S-1: How well is your organization modernizing its security posture to align with cloud adoption?
",S-1-10: None of the above.,S-1-10: None of the above.,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-1: Established a cloud-specific incident response plan aligned with the overall business strategy.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-2: Defined incident escalation protocols to coordinate with cloud service providers.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-3: Conducted regular incident response drills and simulations specific to cloud environments.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-4: Established a process for rapid forensic data collection and analysis for cloud incidents.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
","S-2-5: Defined clear roles for each team involved in incident response, ensuring no overlap or ambiguity.",,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-6: Integrated continuous monitoring tools to detect potential threats and anomalies in real time.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-7: Aligned incident response processes with the organization’s reliability and performance requirements.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-8: Conducted a risk assessment to evaluate potential impacts of cloud-specific incidents on business continuity.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-9: Defined a communication plan to update stakeholders during and after cloud incidents.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-10: Reviewed and updated the incident response strategy periodically to account for emerging cloud threats.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-11: Appropriate emergency access accounts are configured in case of an emergency.,,,,,,,
CAF - Strategy,"S-2: How prepared is your organization for incident response and preparedness in the cloud?
",S-2-12: None of the above.,S-2-12: None of the above.,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-1: Established data privacy and protection policies aligned with regulations like GDPR and HIPAA.,,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-2: Defined a risk management framework to identify and mitigate risks to data confidentiality.,,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
","S-3-3: Access control policies based on Zero Trust principles, including least privilege and just-in-time (JIT) access, are implemented to reduce the risk of unauthorized access",,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-4: Created audit logs for all access to sensitive data and review them periodically for anomalies.,,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
","S-3-5: Developed training programs on data confidentiality, integrity and availability (CIA) for employees handling sensitive information.",,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-6: Designated a data protection officer responsible for managing cloud data confidentiality risks.,,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-7: Periodically assess data privacy measures and make adjustments based on regulatory changes and new risks.,,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
","S-3-8: There is a lifecycle management policy for critical accounts, and privileged accounts are reviewed regularly.",,,,,,,
CAF - Strategy,"S-3: How well has your organization defined a strategy for data confidentiality in the cloud?
",S-3-9: None of the above.,S-3-9: None of the above.,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
","S-4-1: Established integrity as a core principle in security strategy, ensuring alignment with business goals.",,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
","S-4-2: Defined controls for data integrity, including access control, encryption, and tamper-proof logging.",,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
",S-4-3: Implemented automated policy management for integrity across all cloud data and systems.,,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
",S-4-4: Established a system classification process to prioritize integrity requirements for critical systems.,,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
","S-4-5: Defined procedures for regular integrity checks on key data assets, such as hash verification and digital signatures.",,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
",S-4-6: Integrated configuration management and version control to track system and data integrity.,,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
",S-4-7: Used automation to enforce integrity across infrastructure and application deployments.,,,,,,,
CAF - Strategy,"S-4: How comprehensive is your organization’s strategy for data and system integrity in the cloud?
",S-4-8: None of the above.,S-4-8: None of the above.,,,,,,
CAF - Strategy,"S-5: How well has your organization defined a strategy for availability in the cloud?
",S-5-1: Defined availability requirements for critical systems and included them in the cloud adoption strategy.,,,,,,,
CAF - Strategy,"S-5: How well has your organization defined a strategy for availability in the cloud?
",S-5-2: Established redundancy and failover mechanisms to ensure minimal downtime during disruptions.,,,,,,,
CAF - Strategy,"S-5: How well has your organization defined a strategy for availability in the cloud?
",S-5-3: None of the above.,S-5-3: None of the above.,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-1: Established a continuous improvement plan to evolve security practices in response to new threats.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-2: Security policies are regularly reviewed and refined to ensure they remain relevant and effective.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-3: Periodic security posture assessments are conducted to identify areas for improvement.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-4: Integrated security metrics to monitor and report on security posture sustainability over time.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-5: Defined a framework for ongoing security training and education for cloud security teams.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
","S-6-6: Established guidelines for handling emerging threats, ensuring preparedness for unknown risks.",,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-7: Created a roadmap to align long-term security goals with the organization’s business objectives.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-8: Designated a team responsible for monitoring security posture and ensuring policy adherence.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-9: Established a feedback loop to incorporate lessons learned from incidents into the security strategy.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-10: Maintain a security sustainment budget to ensure resources are available for ongoing posture management.,,,,,,,
CAF - Strategy,"S-6: How effectively does your organization sustain its security posture in the cloud over time?
",S-6-11: None of the above.,S-6-11: None of the above.,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
",P-1-1: Identified and classified sensitive data based on regulatory requirements and business needs.,,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
",P-1-2: Implemented multi-factor authentication (MFA) for accessing sensitive cloud data.,,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
",P-1-3: Deployed Data Loss Prevention (DLP) tools to monitor and protect sensitive data across endpoints and cloud services.,,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
","P-1-4: Incorporated Zero Trust principles to enhance data protection, including continuous verification of access requests with Entra ID Conditional Access Policies.",,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
",P-1-5: Microsoft Entra ID or another managed identity provider is used for user authentication.,,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
","P-1-6: Modern authentication and authorization protocols (OpenID Connect, OAuth 2.0) are used in applications and services.",,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
","P-1-7: When accessing Azure platform services, managed identities are preferred over API keys and connection strings.",,,,,,,
CAF - Plan,"P-1: How effectively has your organization defined a strategy for confidentiality in the cloud?
",P-1-8: None of the above.,P-1-8: None of the above.,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-1: Established automated integrity monitoring to detect and prevent unauthorized changes to data and systems.,,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-2: Standardized configuration management processes to ensure consistent and compliant system setups.,,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-3: Incorporated integrity monitoring into incident response plans to address unauthorized changes effectively.,,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-4: Deployed observability tools to monitor real-time changes in critical cloud systems and data assets.,,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-5: Trained teams on the importance of integrity controls and how to implement them in daily operations.,,,,,,,
CAF - Plan,"P-2: How comprehensive is your organization’s approach for data and system integrity in the cloud?
",P-2-6: None of the above.,P-2-6: None of the above.,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
",P-3-1: Standardized application and infrastructure design patterns for high availability.,,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
",P-3-2: Incorporated disaster recovery plans and conducted regular failover simulations.,,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
",P-3-3: Established uptime monitoring and alerting systems to track availability metrics in real time.,,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
","P-3-4: Periodically reviewed availability standards to balance cost, performance, and resilience objectives.",,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
",P-3-5: Penetration testing processes are established and conducted.,,,,,,,
CAF - Plan,"P-3: How robust is your organization’s strategy for availability in the cloud?
",P-3-6: None of the above.,P-3-6: None of the above.,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-1: Established a landing zone based on Azure’s design principles to provide a scalable and secure foundation.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-2: Implemented management groups to govern resources across subscriptions efficiently.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-3: Defined identity and access management (IAM) policies as part of the landing zone to secure access.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-4: Developed a governance strategy within the landing zone to enforce compliance with organizational policies.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-5: Configured a hub-and-spoke network topology within the landing zone to support secure and reliable connectivity.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-6: Integrated monitoring and logging tools to provide visibility into landing zone performance and compliance.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-7: Established resource organization standards to improve manageability and reporting.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-8: Designed for scalability by including modular templates for adding or modifying workloads in the landing zone.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-9: Incorporated disaster recovery and failover strategies into the landing zone design.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-10: Conducted regular reviews and updates to align landing zone configurations with evolving business needs and best practices.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-11: Trained stakeholders to manage and maintain the landing zone effectively.,,,,,,,
CAF - Ready,"R-1: How mature is your organization’s implementation of a secure and scalable cloud foundation (Azure landing zone)?
",R-1-12: None of the above.,R-1-12: None of the above.,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
","A-1-1: Automated infrastructure deployments and configurations using tools like Azure Resource Manager templates, Bicep, or Terraform.",,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
","A-1-2: Established automated security testing procedures, such as unit, integration, and regression tests, to validate workloads.",,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
",A-1-3: Implemented monitoring and alerting for infrastructure and workloads using tools like Azure Monitor or Microsoft Sentinel.,,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
","A-1-4: Adopted change management practices to track, review, and approve modifications to infrastructure and software configurations.",,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
","A-1-5: Automated remediation workflows for common security issues, such as misconfigurations or compliance violations.",,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
",A-1-6: Configured role-based access controls (RBAC) and multifactor authentication to secure access to infrastructure and applications.,,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
",A-1-7: Conducted periodic reviews of infrastructure as code (IaC) templates and CI/CD pipelines to ensure compliance with evolving security standards.,,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
",A-1-8: Regularly trained developers and administrators on secure coding and infrastructure management practices.,,,,,,,
CAF - Adopt,"A-1: How well has your organization adopted modern security posture practices?
",A-1-9: None of the above.,A-1-9: None of the above.,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
",A-2-1: DDoS Protection is enabled on all public-facing IP addresses to protect against DDoS attacks.,,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
","A-2-2: A centrally-managed, next-generation Layer 3-7 firewall with advanced threat intelligence capabilities is used to govern traffic flows, block communication with known malicious IPs/domains, and detect insecure legacy protocols.",,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
",A-2-3: A web application firewall (WAF) is used to protect all web applications and APIs from common exploits and vulnerabilities.,,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
","A-2-4: Virtual Networks (VNets) and Subnets are used to segment core/shared services, high-value applications, and non-production environments.",,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
",A-2-5: Network Security Groups (NSGs) are applied to subnets to explicitly allow authorized traffic flows.,,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
",A-2-6: Private Endpoints are configured to restrict access to Azure services to applications or servers on your Vnets,,,,,,,
CAF - Adopt,"A-2: How effectively does your organization secure its network and application layers?
",A-2-7: None of the above.,A-2-7: None of the above.,,,,,,
CAF - Adopt,"A-3: How effectively are cryptographic standards and secure communication practices implemented?
","A-3-1: Industry-standard cryptographic algorithms like AES-256 are used for encryption, and secure modern hashing algorithms like SHA-2 are employed for integrity verification.",,,,,,,
CAF - Adopt,"A-3: How effectively are cryptographic standards and secure communication practices implemented?
",A-3-2: Only TLS 1.2 or later is used to secure communication channels.,,,,,,,
CAF - Adopt,"A-3: How effectively are cryptographic standards and secure communication practices implemented?
","A-3-3: Data at rest and data in transit are encrypted using strong encryption standards, including native encryption mechanisms provided by the cloud provider.",,,,,,,
CAF - Adopt,"A-3: How effectively are cryptographic standards and secure communication practices implemented?
",A-3-4: Periodic reviews and audits of cryptographic protocols and configurations are performed to ensure they align with evolving security standards.,,,,,,,
CAF - Adopt,"A-3: How effectively are cryptographic standards and secure communication practices implemented?
",A-3-5: None of the above.,A-3-5: None of the above.,,,,,,
CAF - Adopt,"A-4: How well are passwords, secrets, and access management practices implemented?
","A-4-1: Passwords, secrets and keys are managed outside of application artifacts, using tools like Azure Key Vault.",,,,,,,
CAF - Adopt,"A-4: How well are passwords, secrets, and access management practices implemented?
","A-4-2: The access model for keys and secrets is defined, and all operations and access are audited.",,,,,,,
CAF - Adopt,"A-4: How well are passwords, secrets, and access management practices implemented?
",A-4-3: Secret and key rotation procedures are in place to minimize exposure of compromised credentials.,,,,,,,
CAF - Adopt,"A-4: How well are passwords, secrets, and access management practices implemented?
","A-4-4: Expiry dates for SSL/TLS certificates are monitored, with renewal processes in place to prevent disruptions.",,,,,,,
CAF - Adopt,"A-4: How well are passwords, secrets, and access management practices implemented?
",A-4-5: None of the above.,A-4-5: None of the above.,,,,,,
CAF - Adopt,"A-5: How effectively are endpoint and workload protections implemented?
",A-5-1: Endpoint detection and response (EDR) is implemented on client and server endpoints.,,,,,,,
CAF - Adopt,"A-5: How effectively are endpoint and workload protections implemented?
",A-5-2: Anti-malware solutions are deployed on all client and server endpoints.,,,,,,,
CAF - Adopt,"A-5: How effectively are endpoint and workload protections implemented?
","A-5-3: Threat protection is enabled for the compute, data, and service layers of the environment.",,,,,,,
CAF - Adopt,"A-5: How effectively are endpoint and workload protections implemented?
",A-5-4: Security updates and patches are applied to all endpoints and workloads promptly to minimize vulnerabilities.,,,,,,,
CAF - Adopt,"A-5: How effectively are endpoint and workload protections implemented?
",A-4-5: None of the above.,A-4-5: None of the above.,,,,,,
CAF - Adopt,"A-6: How effectively are governance and management practices implemented across the hybrid estate?
","A-6-1: A single governance and management layer is used across Azure, non-Azure, and on-premises workloads.",,,,,,,
CAF - Adopt,"A-6: How effectively are governance and management practices implemented across the hybrid estate?
",A-6-2: Security recommendations and alerts from on-premises and multi-cloud workloads are consolidated into a single console.,,,,,,,
CAF - Adopt,"A-6: How effectively are governance and management practices implemented across the hybrid estate?
",A-6-3: Defender for Servers (MDE) is leveraged to protect hybrid workloads.,,,,,,,
CAF - Adopt,"A-6: How effectively are governance and management practices implemented across the hybrid estate?
",A-6-4: Policies and configurations are continuously monitored for compliance across the hybrid estate.,,,,,,,
CAF - Adopt,"A-6: How effectively are governance and management practices implemented across the hybrid estate?
",A-6-5: None of the above.,A-6-5: None of the above.,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
",A-7-1: Security has been integrated into all phases of the development and release lifecycle.,,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
",A-7-2: Security Development Lifecycle (SDL) practices are applied in all projects.,,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
",A-7-3: Gates and approvals are configured in DevOps release processes.,,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
","A-7-4: Branch policies are used in source control management, the main branch is protected, and code reviews are required.",,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
","A-7-5: All IaC/CaC and source code artifacts are reviewed, scanned, and maintained in source control, with integrated security checks, including static code analysis and vulnerability scanning in CI/CD pipelines.",,,,,,,
CAF - Adopt,"A-7: How well is security integrated into the development lifecycle and DevOps processes?
",A-7-6: None of the above.,A-7-6: None of the above.,,,,,,
CAF - Adopt,"A-8: How secure are your development environments and tools?
",A-8-1: Developer machines (including self-hosted build agents) are managed and monitored for security incidents.,,,,,,,
CAF - Adopt,"A-8: How secure are your development environments and tools?
","A-8-2: All development tools, extensions, and integrations are assessed for trustworthiness.",,,,,,,
CAF - Adopt,"A-8: How secure are your development environments and tools?
",A-8-3: Auditing is enabled for all changes to the build environment.,,,,,,,
CAF - Adopt,"A-8: How secure are your development environments and tools?
",A-8-4: None of the above.,A-8-4: None of the above.,,,,,,
CAF - Adopt,"A-9: How well are vulnerabilities and dependencies managed in your software development processes?
","A-9-1: A software bill of materials (SBoM) is maintained for all dependencies, frameworks, and libraries used.",,,,,,,
CAF - Adopt,"A-9: How well are vulnerabilities and dependencies managed in your software development processes?
",A-9-2: Vulnerability data is ingested and used to automatically update or create security bugs when vulnerable dependencies are in use.,,,,,,,
CAF - Adopt,"A-9: How well are vulnerabilities and dependencies managed in your software development processes?
","A-9-3: Regular builds (e.g., daily) are deployed automatically to non-production environments as part of a CI/CD pipeline, with automated security testing performed.",,,,,,,
CAF - Adopt,"A-9: How well are vulnerabilities and dependencies managed in your software development processes?
",A-9-4: None of the above.,A-9-4: None of the above.,,,,,,
CAF - Govern,"G-1: How comprehensive are your organization's efforts in maintaining a dynamic and secure governance framework for your cloud estate?
","G-1-1: Asset discovery and tracking are continuously implemented for virtual machines, containers, and SaaS applications.",,,,,,,
CAF - Govern,"G-1: How comprehensive are your organization's efforts in maintaining a dynamic and secure governance framework for your cloud estate?
","G-1-2: Continuous vulnerability assessments are conducted, and identified risks are promptly addressed.",,,,,,,
CAF - Govern,"G-1: How comprehensive are your organization's efforts in maintaining a dynamic and secure governance framework for your cloud estate?
",G-1-3: Azure Policy is used to enforce baseline security standards and monitor compliance with frameworks like MCSB.,,,,,,,
CAF - Govern,"G-1: How comprehensive are your organization's efforts in maintaining a dynamic and secure governance framework for your cloud estate?
",G-1-4: Policies for decommissioning or isolating unused cloud resources are enforced.,,,,,,,
CAF - Govern,"G-1: How comprehensive are your organization's efforts in maintaining a dynamic and secure governance framework for your cloud estate?
",G-1-5: None of the above.,G-1-5: None of the above.,,,,,,
CAF - Manage,"M-1: How effectively is your cloud environment's security monitoring?
",M-1-1: Enabled logging for security events across resources.,,,,,,,
CAF - Manage,"M-1: How effectively is your cloud environment's security monitoring?
",M-1-2: Configured Microsoft Sentinel (or 3rd party) as a centralized SIEM for security telemetry ingestion.,,,,,,,
CAF - Manage,"M-1: How effectively is your cloud environment's security monitoring?
",M-1-3: Established alerting for unauthorized access attempts.,,,,,,,
CAF - Manage,"M-1: How effectively is your cloud environment's security monitoring?
",M-1-4: Implemented Microsoft Defender XDR for advanced threat detection.,,,,,,,
CAF - Manage,"M-1: How effectively is your cloud environment's security monitoring?
",M-1-5: None of the above.,M-1-5: None of the above.,,,,,,
